Time,wesTdb,halTdb,easTdb
0,293.15,293.15,293.15
300,291.761,293.177,291.761
600,290.947,293.192,290.947
900,290.49,293.193,290.49
1200,290.209,293.179,290.209
1500,290.014,293.153,290.014
1800,289.861,293.116,289.861
2100,289.733,293.069,289.733
2400,289.621,293.016,289.621
2700,289.515,292.958,289.516
3000,289.417,292.896,289.417
3300,289.324,292.83,289.324
3600,289.236,292.762,289.237
3900,289.153,292.691,289.153
4200,289.073,292.619,289.074
4500,288.997,292.545,288.997
4800,288.923,292.47,288.924
5100,288.853,292.395,288.854
5400,288.785,292.32,288.786
5700,288.719,292.245,288.72
6000,288.654,292.17,288.655
6300,288.592,292.096,288.593
6600,288.53,292.022,288.532
6900,288.47,291.949,288.472
7200,288.411,291.876,288.413
7500,288.354,291.804,288.355
7800,288.297,291.733,288.299
8100,288.242,291.662,288.244
8400,288.189,291.592,288.19
8700,288.137,291.522,288.139
9000,288.087,291.453,288.089
9300,288.038,291.384,288.04
9600,287.99,291.316,287.992
9900,287.943,291.249,287.944
10200,287.896,291.182,287.897
10500,287.849,291.115,287.85
10800,287.801,291.049,287.803
11100,287.753,290.984,287.755
11400,287.704,290.919,287.706
11700,287.653,290.855,287.655
12000,287.6,290.791,287.602
12300,287.547,290.727,287.549
12600,287.493,290.664,287.495
12900,287.437,290.601,287.44
13200,287.381,290.538,287.383
13500,287.325,290.476,287.327
13800,287.272,290.414,287.274
14100,287.219,290.352,287.221
14400,287.166,290.29,287.169
14700,287.114,290.229,287.117
15000,287.065,290.168,287.067
15300,287.018,290.109,287.02
15600,286.972,290.049,286.974
15900,286.925,289.99,286.928
16200,286.879,289.93,286.881
16500,286.834,289.872,286.836
16800,286.789,289.814,286.791
17100,286.744,289.755,286.746
17400,286.699,289.698,286.701
17700,286.653,289.64,286.655
18000,286.607,289.583,286.609
18300,286.561,289.526,286.563
18600,286.514,289.47,286.516
18900,286.467,289.413,286.469
19200,286.42,289.357,286.422
19500,286.374,289.301,286.376
19800,286.327,289.245,286.329
20100,286.28,289.19,286.282
20400,286.233,289.134,286.235
20700,286.186,289.079,286.188
21000,286.14,289.024,286.141
21300,286.093,288.97,286.095
21600,286.046,288.915,286.048
21900,286,288.861,286.001
22200,285.953,288.807,285.954
22500,285.905,288.753,285.907
22800,285.858,288.699,285.859
23100,285.81,288.646,285.812
23400,285.762,288.592,285.764
23700,285.714,288.539,285.716
24000,285.665,288.486,285.668
24300,285.618,288.434,285.623
24600,285.571,288.381,285.579
24900,285.524,288.329,285.536
25200,285.477,288.277,285.494
25500,285.432,288.254,285.455
25800,285.389,288.227,285.421
26100,285.348,288.196,285.395
26400,285.31,288.163,285.375
26700,285.275,288.129,285.366
27000,285.243,288.093,285.368
27300,285.214,288.057,285.398
27600,285.188,288.022,285.455
27900,285.165,287.989,285.552
28200,285.145,287.957,285.688
28500,285.127,287.93,285.862
28800,285.111,287.906,286.072
29100,285.517,287.888,286.725
29400,285.732,287.878,287.202
29700,285.848,287.876,287.601
30000,285.917,287.88,287.983
30300,285.962,287.89,288.331
30600,285.994,287.906,288.653
30900,286.019,287.928,288.954
31200,286.04,287.956,289.243
31500,286.059,287.991,289.522
31800,286.078,288.032,289.79
32100,286.099,288.078,290.07
32400,286.123,288.13,290.346
32700,286.148,288.185,290.608
33000,286.175,288.245,290.853
33300,286.203,288.308,291.081
33600,286.232,288.374,291.292
33900,286.262,288.441,291.486
34200,286.292,288.51,291.665
34500,286.324,288.58,291.828
34800,286.357,288.651,291.975
35100,286.389,288.721,292.107
35400,286.423,288.792,292.229
35700,286.458,288.862,292.345
36000,286.494,288.932,292.456
36300,286.529,289,292.546
36600,286.565,289.068,292.622
36900,286.601,289.134,292.679
37200,286.638,289.198,292.718
37500,286.676,289.26,292.742
37800,286.715,289.321,292.75
38100,286.757,289.379,292.746
38400,286.801,289.435,292.727
38700,286.846,289.489,292.697
39000,286.894,289.54,292.655
39300,286.943,289.589,292.596
39600,286.993,289.635,292.522
39900,287.044,289.678,292.443
40200,287.097,289.72,292.359
40500,287.152,289.759,292.274
40800,287.207,289.796,292.188
41100,287.263,289.831,292.105
41400,287.319,289.864,292.027
41700,287.374,289.896,291.957
42000,287.426,289.926,291.896
42300,287.476,289.955,291.843
42600,287.524,289.983,291.8
42900,287.57,290.01,291.767
43200,287.617,290.036,291.743
43500,287.612,290.061,291.675
43800,287.63,290.085,291.632
44100,287.661,290.108,291.602
44400,287.698,290.131,291.581
44700,287.742,290.153,291.567
45000,287.793,290.175,291.557
45300,287.849,290.197,291.553
45600,287.907,290.218,291.551
45900,287.968,290.24,291.553
46200,288.029,290.262,291.556
46500,288.092,290.285,291.561
46800,288.154,290.307,291.568
47100,288.321,290.331,291.677
47400,288.453,290.355,291.745
47700,288.563,290.38,291.789
48000,288.659,290.407,291.82
48300,288.746,290.434,291.844
48600,288.827,290.461,291.863
48900,288.902,290.489,291.879
49200,288.974,290.517,291.891
49500,289.043,290.546,291.9
49800,289.109,290.574,291.905
50100,289.173,290.602,291.906
50400,289.234,290.631,291.903
50700,289.294,290.659,291.898
51000,289.351,290.687,291.89
51300,289.407,290.715,291.879
51600,289.459,290.742,291.866
51900,289.507,290.769,291.852
52200,289.552,290.796,291.837
52500,289.593,290.823,291.822
52800,289.627,290.848,291.806
53100,289.656,290.874,291.789
53400,289.678,290.898,291.772
53700,289.695,290.922,291.754
54000,289.705,290.945,291.736
54300,289.709,290.967,291.717
54600,289.708,290.987,291.698
54900,289.701,291.007,291.679
55200,289.69,291.025,291.659
55500,289.674,291.042,291.639
55800,289.654,291.057,291.62
56100,289.63,291.071,291.6
56400,289.602,291.084,291.58
56700,289.57,291.095,291.56
57000,289.533,291.104,291.54
57300,289.492,291.112,291.52
57600,289.447,291.118,291.5
57900,289.402,291.123,291.481
58200,289.354,291.126,291.461
58500,289.305,291.128,291.442
58800,289.261,291.128,291.425
59100,289.22,291.127,291.408
59400,289.185,291.124,291.394
59700,289.156,291.121,291.382
60000,289.133,291.116,291.372
60300,289.115,291.111,291.364
60600,289.101,291.104,291.358
60900,289.092,291.098,291.355
61200,289.088,291.091,291.354
61500,288.606,291.082,290.882
61800,288.295,291.07,290.584
62100,288.098,291.056,290.399
62400,287.968,291.038,290.277
62700,287.876,291.018,290.189
63000,287.803,290.995,290.118
63300,287.741,290.971,290.056
63600,287.684,290.944,289.999
63900,287.632,290.916,289.945
64200,287.583,290.887,289.894
64500,287.536,290.857,289.844
64800,287.491,290.826,289.795
65100,287.444,290.795,289.745
65400,287.396,290.763,289.691
65700,287.345,290.73,289.633
66000,287.292,290.697,289.573
66300,287.239,290.663,289.511
66600,287.185,290.628,289.45
66900,287.133,290.593,289.388
67200,287.082,290.557,289.329
67500,287.032,290.521,289.27
67800,286.984,290.484,289.214
68100,286.937,290.447,289.159
68400,286.891,290.41,289.105
68700,286.847,290.343,289.053
69000,286.807,290.282,289.005
69300,286.771,290.224,288.961
69600,286.738,290.169,288.921
69900,286.71,290.116,288.885
70200,286.684,290.065,288.852
70500,286.661,290.015,288.822
70800,286.64,289.968,288.794
71100,286.62,289.921,288.767
71400,286.6,289.876,288.74
71700,286.58,289.832,288.713
72000,286.56,289.789,288.685
72300,286.512,289.746,288.631
72600,286.474,289.705,288.586
72900,286.441,289.663,288.548
73200,286.412,289.622,288.513
73500,286.386,289.581,288.482
73800,286.362,289.541,288.454
74100,286.341,289.501,288.429
74400,286.323,289.462,288.408
74700,286.306,289.423,288.389
75000,286.292,289.385,288.372
75300,286.276,289.347,288.353
75600,286.26,289.31,288.333
75900,286.238,289.273,288.307
76200,286.212,289.236,288.273
76500,286.18,289.2,288.234
76800,286.146,289.164,288.191
77100,286.111,289.129,288.146
77400,286.075,289.093,288.101
77700,286.041,289.057,288.056
78000,286.008,289.021,288.014
78300,285.975,288.986,287.973
78600,285.945,288.95,287.934
78900,285.914,288.915,287.895
79200,285.884,288.879,287.857
79500,285.854,288.844,287.82
79800,285.823,288.808,287.782
80100,285.789,288.773,287.741
80400,285.755,288.737,287.7
80700,285.721,288.702,287.658
81000,285.684,288.667,287.615
81300,285.648,288.631,287.572
81600,285.611,288.596,287.529
81900,285.574,288.56,287.486
82200,285.538,288.524,287.443
82500,285.502,288.489,287.401
82800,285.468,288.453,287.36
83100,285.434,288.417,287.319
83400,285.402,288.381,287.281
83700,285.369,288.345,287.242
84000,285.338,288.31,287.205
84300,285.308,288.274,287.168
84600,285.278,288.238,287.133
84900,285.25,288.203,287.097
85200,285.221,288.167,287.062
85500,285.192,288.132,287.027
85800,285.163,288.096,286.993
86100,285.135,288.061,286.958
86400,285.106,288.025,286.923
86700,285.076,287.99,286.887
87000,285.043,287.955,286.848
87300,285.006,287.92,286.804
87600,284.965,287.885,286.758
87900,284.92,287.85,286.707
88200,284.874,287.814,286.655
88500,284.824,287.779,286.6
88800,284.775,287.743,286.545
89100,284.725,287.707,286.489
89400,284.677,287.67,286.436
89700,284.63,287.633,286.384
90000,284.587,287.596,286.335
90300,284.548,287.559,286.291
90600,284.513,287.522,286.25
90900,284.48,287.484,286.211
91200,284.451,287.447,286.176
91500,284.425,287.409,286.144
91800,284.401,287.372,286.114
92100,284.38,287.335,286.086
92400,284.361,287.298,286.061
92700,284.341,287.262,286.035
93000,284.321,287.225,286.009
93300,284.301,287.189,285.982
93600,284.277,287.153,285.953
93900,284.253,287.118,285.923
94200,284.226,287.083,285.89
94500,284.198,287.047,285.856
94800,284.168,287.012,285.82
95100,284.137,286.978,285.784
95400,284.105,286.943,285.747
95700,284.073,286.908,285.709
96000,284.04,286.873,285.671
96300,284.008,286.838,285.633
96600,283.976,286.804,285.596
96900,283.945,286.769,285.56
97200,283.915,286.735,285.525
97500,283.887,286.7,285.491
97800,283.86,286.666,285.459
98100,283.834,286.632,285.428
98400,283.809,286.597,285.398
98700,283.785,286.563,285.369
99000,283.763,286.529,285.342
99300,283.741,286.496,285.315
99600,283.72,286.462,285.289
99900,283.7,286.429,285.264
100200,283.681,286.396,285.24
100500,283.662,286.363,285.216
100800,283.645,286.331,285.194
