Time,wesTdb,halTdb,easTdb
101100,283.629,286.298,285.172
101400,283.613,286.266,285.152
101700,283.599,286.235,285.132
102000,283.587,286.203,285.114
102300,283.575,286.172,285.097
102600,283.565,286.142,285.082
102900,283.557,286.112,285.067
103200,283.548,286.082,285.052
103500,283.54,286.053,285.039
103800,283.532,286.024,285.025
104100,283.523,285.995,285.01
104400,283.512,285.967,284.994
104700,283.5,285.939,284.976
105000,283.486,285.912,284.958
105300,283.471,285.884,284.937
105600,283.453,285.858,284.914
105900,283.434,285.831,284.89
106200,283.414,285.805,284.866
106500,283.393,285.778,284.84
106800,283.372,285.752,284.813
107100,283.35,285.726,284.787
107400,283.329,285.7,284.761
107700,283.308,285.674,284.736
108000,283.289,285.649,284.712
108300,283.27,285.623,284.689
108600,283.253,285.597,284.667
108900,283.238,285.572,284.647
109200,283.223,285.547,284.627
109500,283.209,285.521,284.609
109800,283.196,285.496,284.591
110100,283.183,285.471,284.574
110400,283.172,285.447,284.558
110700,283.16,285.422,284.542
111000,283.149,285.398,284.526
111300,283.138,285.374,284.511
111600,283.127,285.351,284.496
111900,283.116,285.356,284.48
112200,283.104,285.358,284.464
112500,283.092,285.355,284.447
112800,283.078,285.35,284.429
113100,283.065,285.342,284.411
113400,283.051,285.332,284.392
113700,283.038,285.321,284.375
114000,283.025,285.308,284.358
114300,283.014,285.294,284.344
114600,283.004,285.28,284.332
114900,282.997,285.266,284.324
115200,282.992,285.252,284.321
115500,283.424,285.239,284.754
115800,283.697,285.229,285.026
116100,283.882,285.223,285.214
116400,284.011,285.22,285.348
116700,284.106,285.22,285.449
117000,284.182,285.222,285.529
117300,284.247,285.226,285.598
117600,284.306,285.232,285.663
117900,284.362,285.24,285.727
118200,284.419,285.249,285.794
118500,284.479,285.26,285.865
118800,284.541,285.272,285.941
119100,284.605,285.286,286.021
119400,284.671,285.301,286.104
119700,284.737,285.319,286.191
120000,284.803,285.338,286.278
120300,284.867,285.358,286.363
120600,284.928,285.381,286.445
120900,284.987,285.406,286.521
121200,285.043,285.432,286.591
121500,285.095,285.459,286.654
121800,285.145,285.487,286.71
122100,285.192,285.517,286.76
122400,285.236,285.547,286.804
122700,285.279,285.577,286.844
123000,285.321,285.608,286.881
123300,285.364,285.639,286.917
123600,285.407,285.671,286.954
123900,285.451,285.702,286.992
124200,285.498,285.734,287.033
124500,285.547,285.766,287.077
124800,285.598,285.798,287.124
125100,285.649,285.831,287.172
125400,285.702,285.864,287.221
125700,285.754,285.898,287.27
126000,285.805,285.932,287.317
126300,285.854,285.967,287.363
126600,285.903,286.002,287.407
126900,285.951,286.038,287.45
127200,285.999,286.074,287.492
127500,286.048,286.11,287.533
127800,286.096,286.147,287.573
128100,286.145,286.184,287.613
128400,286.193,286.222,287.651
128700,286.241,286.259,287.688
129000,286.289,286.297,287.723
129300,286.336,286.335,287.758
129600,286.386,286.373,287.793
129900,286.386,286.412,287.778
130200,286.407,286.45,287.78
130500,286.441,286.488,287.795
130800,286.484,286.526,287.818
131100,286.534,286.564,287.848
131400,286.589,286.602,287.882
131700,286.648,286.64,287.92
132000,286.71,286.679,287.961
132300,286.775,286.717,288.005
132600,286.843,286.756,288.05
132900,286.912,286.795,288.097
133200,286.982,286.835,288.144
133500,287.152,286.875,288.292
133800,287.278,286.916,288.394
134100,287.367,286.958,288.46
134400,287.428,287,288.495
134700,287.468,287.042,288.507
135000,287.493,287.085,288.505
135300,287.509,287.127,288.492
135600,287.519,287.168,288.473
135900,287.525,287.21,288.45
136200,287.53,287.25,288.426
136500,287.536,287.29,288.402
136800,287.543,287.328,288.38
137100,287.554,287.366,288.361
137400,287.566,287.403,288.344
137700,287.579,287.44,288.328
138000,287.594,287.475,288.314
138300,287.609,287.51,288.302
138600,287.625,287.543,288.289
138900,287.64,287.576,288.277
139200,287.653,287.608,288.265
139500,287.664,287.639,288.253
139800,287.673,287.67,288.239
140100,287.677,287.699,288.225
140400,287.677,287.727,288.208
140700,287.674,287.754,288.191
141000,287.668,287.78,288.173
141300,287.659,287.806,288.154
141600,287.648,287.83,288.136
141900,287.637,287.852,288.117
142200,287.625,287.874,288.1
142500,287.615,287.894,288.083
142800,287.605,287.913,288.067
143100,287.595,287.93,288.05
143400,287.585,287.946,288.034
143700,287.57,287.961,288.016
144000,287.552,287.974,287.996
144300,287.53,287.986,287.975
144600,287.504,287.996,287.95
144900,287.477,288.005,287.924
145200,287.448,288.013,287.897
145500,287.416,288.02,287.869
145800,287.379,288.025,287.84
146100,287.341,288.028,287.812
146400,287.299,288.031,287.784
146700,287.259,288.032,287.757
147000,287.221,288.033,287.73
147300,287.187,288.031,287.705
147600,287.153,288.029,287.68
147900,286.634,288.025,287.178
148200,286.275,288.018,286.842
148500,286.038,288.007,286.625
148800,285.881,287.992,286.483
149100,285.769,287.974,286.381
149400,285.682,287.953,286.3
149700,285.609,287.93,286.232
150000,285.545,287.906,286.172
150300,285.489,287.879,286.119
150600,285.439,287.852,286.071
150900,285.394,287.823,286.028
151200,285.353,287.794,285.988
151500,285.316,287.764,285.951
151800,285.281,287.733,285.918
152100,285.25,287.702,285.887
152400,285.222,287.671,285.859
152700,285.197,287.64,285.833
153000,285.175,287.609,285.81
153300,285.154,287.578,285.789
153600,285.135,287.547,285.77
153900,285.118,287.516,285.751
154200,285.101,287.486,285.733
154500,285.084,287.456,285.715
154800,285.068,287.426,285.697
155100,285.05,287.367,285.678
155400,285.032,287.314,285.659
155700,285.013,287.266,285.639
156000,284.995,287.221,285.619
156300,284.976,287.178,285.599
156600,284.958,287.138,285.579
156900,284.94,287.1,285.56
157200,284.922,287.064,285.54
157500,284.905,287.029,285.521
157800,284.888,286.994,285.503
158100,284.871,286.961,285.484
158400,284.855,286.929,285.466
158700,284.814,286.897,285.423
159000,284.782,286.866,285.391
159300,284.757,286.835,285.364
159600,284.736,286.804,285.341
159900,284.718,286.773,285.321
160200,284.7,286.743,285.302
160500,284.684,286.714,285.283
160800,284.668,286.684,285.265
161100,284.652,286.655,285.248
161400,284.637,286.626,285.231
161700,284.621,286.598,285.214
162000,284.606,286.569,285.197
162300,284.592,286.542,285.18
162600,284.578,286.514,285.164
162900,284.564,286.487,285.149
163200,284.55,286.46,285.133
163500,284.537,286.433,285.118
163800,284.524,286.407,285.103
164100,284.511,286.381,285.089
164400,284.498,286.356,285.074
164700,284.486,286.331,285.06
165000,284.474,286.306,285.047
165300,284.461,286.282,285.032
165600,284.448,286.258,285.017
165900,284.435,286.234,285.002
166200,284.417,286.21,284.984
166500,284.396,286.186,284.961
166800,284.371,286.162,284.935
167100,284.343,286.139,284.905
167400,284.312,286.115,284.873
167700,284.28,286.091,284.84
168000,284.249,286.067,284.808
168300,284.22,286.043,284.779
168600,284.193,286.019,284.751
168900,284.168,285.995,284.726
169200,284.145,285.971,284.702
169500,284.122,285.947,284.678
169800,284.097,285.923,284.652
170100,284.071,285.899,284.623
170400,284.042,285.875,284.592
170700,284.012,285.85,284.56
171000,283.98,285.826,284.526
171300,283.949,285.801,284.493
171600,283.919,285.777,284.46
171900,283.889,285.752,284.428
172200,283.861,285.727,284.397
172500,283.833,285.702,284.367
172800,283.807,285.677,284.339
173100,283.782,285.652,284.312
173400,283.758,285.626,284.286
173700,283.735,285.601,284.261
174000,283.714,285.576,284.238
174300,283.692,285.551,284.215
174600,283.672,285.526,284.193
174900,283.651,285.501,284.17
175200,283.631,285.476,284.149
175500,283.611,285.451,284.127
175800,283.591,285.426,284.105
176100,283.569,285.402,284.082
176400,283.548,285.377,284.059
176700,283.526,285.353,284.035
177000,283.505,285.328,284.012
177300,283.483,285.304,283.988
177600,283.461,285.279,283.965
177900,283.439,285.255,283.941
178200,283.417,285.231,283.917
178500,283.396,285.207,283.894
178800,283.375,285.183,283.871
179100,283.353,285.159,283.848
179400,283.332,285.135,283.824
179700,283.311,285.111,283.801
180000,283.289,285.087,283.778
180300,283.268,285.063,283.755
180600,283.248,285.039,283.733
180900,283.23,285.016,283.713
181200,283.212,284.992,283.693
181500,283.196,284.969,283.676
181800,283.181,284.945,283.659
182100,283.167,284.922,283.643
182400,283.153,284.899,283.627
182700,283.139,284.876,283.611
183000,283.125,284.854,283.596
183300,283.11,284.831,283.579
183600,283.094,284.809,283.562
183900,283.078,284.786,283.544
184200,283.06,284.764,283.524
184500,283.042,284.742,283.504
184800,283.022,284.72,283.483
185100,283.002,284.698,283.462
185400,282.982,284.676,283.44
185700,282.96,284.654,283.417
186000,282.938,284.632,283.393
186300,282.915,284.611,283.368
186600,282.892,284.589,283.343
186900,282.867,284.567,283.317
187200,282.842,284.545,283.29
187500,282.815,284.523,283.262
187800,282.788,284.5,283.234
188100,282.761,284.478,283.205
188400,282.733,284.456,283.176
188700,282.705,284.433,283.146
189000,282.676,284.411,283.116
189300,282.647,284.388,283.085
189600,282.618,284.366,283.055
189900,282.589,284.343,283.024
190200,282.559,284.32,282.993
190500,282.53,284.296,282.962
190800,282.5,284.273,282.931
191100,282.469,284.25,282.899
191400,282.439,284.226,282.867
191700,282.408,284.202,282.835
192000,282.377,284.178,282.803
192300,282.346,284.154,282.77
192600,282.315,284.13,282.737
192900,282.283,284.105,282.704
193200,282.252,284.081,282.671
193500,282.22,284.056,282.638
193800,282.188,284.031,282.605
194100,282.156,284.006,282.571
194400,282.124,283.98,282.538
194700,282.092,283.955,282.504
195000,282.059,283.929,282.471
195300,282.027,283.903,282.437
195600,281.995,283.877,282.404
195900,281.963,283.851,282.371
196200,281.931,283.825,282.337
196500,281.899,283.799,282.304
196800,281.868,283.772,282.271
197100,281.837,283.746,282.239
197400,281.807,283.719,282.208
197700,281.777,283.692,282.177
198000,281.748,283.666,282.146
198300,281.72,283.668,282.118
198600,281.695,283.666,282.098
198900,281.673,283.659,282.091
199200,281.653,283.65,282.1
199500,281.637,283.639,282.126
199800,281.626,283.626,282.154
200100,281.617,283.614,282.181
200400,281.611,283.602,282.209
200700,281.607,283.59,282.24
201000,281.605,283.579,282.278
201300,281.604,283.568,282.319
201600,281.603,283.559,282.361
201900,282.03,283.551,282.823
202200,282.291,283.548,283.113
202500,282.466,283.548,283.315
202800,282.587,283.552,283.467
203100,282.672,283.558,283.586
203400,282.734,283.567,283.683
203700,282.783,283.578,283.766
204000,282.826,283.591,283.843
204300,282.864,283.606,283.914
204600,282.9,283.622,283.985
204900,282.937,283.641,284.059
205200,282.975,283.661,284.136
205500,283.014,283.682,284.214
205800,283.055,283.704,284.294
206100,283.097,283.729,284.375
206400,283.139,283.755,284.457
206700,283.183,283.782,284.538
207000,283.228,283.811,284.617
207300,283.274,283.841,284.696
207600,283.322,283.872,284.774
207900,283.371,283.905,284.85
208200,283.422,283.938,284.925
208500,283.474,283.973,284.999
208800,283.529,284.009,285.07
209100,283.583,284.045,285.139
209400,283.639,284.083,285.205
209700,283.695,284.121,285.268
210000,283.751,284.16,285.327
210300,283.805,284.2,285.382
210600,283.859,284.24,285.433
210900,283.913,284.28,285.48
211200,283.965,284.321,285.523
211500,284.016,284.361,285.563
211800,284.066,284.402,285.599
212100,284.116,284.443,285.633
212400,284.165,284.484,285.665
212700,284.213,284.525,285.694
213000,284.26,284.565,285.722
213300,284.307,284.605,285.749
213600,284.353,284.645,285.773
213900,284.399,284.685,285.796
214200,284.444,284.725,285.817
214500,284.488,284.764,285.837
214800,284.532,284.803,285.856
215100,284.575,284.841,285.874
215400,284.618,284.879,285.89
215700,284.66,284.917,285.906
216000,284.704,284.955,285.924
216300,284.699,284.992,285.891
216600,284.712,285.028,285.875
216900,284.739,285.064,285.873
217200,284.775,285.1,285.88
217500,284.819,285.136,285.893
217800,284.869,285.172,285.911
218100,284.923,285.208,285.932
218400,284.98,285.243,285.955
218700,285.039,285.279,285.978
219000,285.099,285.315,286.001
219300,285.16,285.351,286.025
219600,285.222,285.387,286.047
219900,285.389,285.424,286.175
220200,285.524,285.462,286.271
220500,285.636,285.5,286.343
220800,285.731,285.538,286.398
221100,285.814,285.578,286.441
221400,285.889,285.617,286.474
221700,285.958,285.657,286.5
222000,286.022,285.698,286.52
222300,286.082,285.738,286.536
222600,286.139,285.778,286.55
222900,286.193,285.819,286.56
223200,286.244,285.859,286.569
223500,286.293,285.899,286.576
223800,286.339,285.938,286.582
224100,286.385,285.977,286.587
224400,286.428,286.016,286.592
224700,286.47,286.055,286.596
225000,286.511,286.093,286.6
225300,286.552,286.131,286.604
225600,286.591,286.168,286.607
225900,286.63,286.205,286.61
226200,286.666,286.241,286.611
226500,286.701,286.277,286.611
226800,286.734,286.312,286.61
227100,286.764,286.347,286.607
227400,286.792,286.381,286.601
227700,286.818,286.414,286.593
228000,286.841,286.447,286.583
228300,286.863,286.479,286.571
228600,286.884,286.51,286.557
228900,286.903,286.539,286.54
229200,286.921,286.568,286.521
229500,286.933,286.596,286.5
229800,286.942,286.623,286.477
230100,286.947,286.649,286.451
230400,286.947,286.673,286.423
230700,286.929,286.696,286.393
231000,286.903,286.718,286.361
231300,286.867,286.739,286.327
231600,286.822,286.757,286.292
231900,286.767,286.774,286.256
232200,286.693,286.789,286.221
232500,286.605,286.801,286.186
232800,286.513,286.809,286.153
233100,286.424,286.815,286.12
233400,286.344,286.82,286.09
233700,286.272,286.822,286.061
234000,286.204,286.824,286.034
234300,285.675,286.824,285.542
234600,285.328,286.818,285.224
234900,285.106,286.809,285.025
235200,284.961,286.795,284.898
235500,284.857,286.778,284.809
235800,284.774,286.758,284.739
236100,284.705,286.736,284.68
236400,284.644,286.711,284.629
236700,284.588,286.686,284.582
237000,284.537,286.658,284.538
237300,284.489,286.63,284.497
237600,284.444,286.601,284.458
237900,284.401,286.572,284.421
238200,284.36,286.541,284.384
238500,284.319,286.511,284.348
238800,284.28,286.479,284.313
239100,284.242,286.448,284.278
239400,284.204,286.416,284.244
239700,284.168,286.385,284.211
240000,284.132,286.353,284.178
240300,284.097,286.321,284.145
240600,284.063,286.289,284.113
240900,284.03,286.257,284.083
241200,283.999,286.225,284.052
241500,283.968,286.163,284.023
241800,283.938,286.108,283.994
242100,283.909,286.056,283.966
242400,283.88,286.007,283.939
242700,283.852,285.961,283.912
243000,283.825,285.918,283.885
243300,283.798,285.876,283.859
243600,283.772,285.836,283.834
243900,283.746,285.797,283.808
244200,283.72,285.758,283.783
244500,283.695,285.721,283.758
244800,283.669,285.684,283.733
245100,283.619,285.648,283.684
245400,283.579,285.612,283.644
245700,283.545,285.577,283.61
246000,283.514,285.541,283.58
246300,283.486,285.506,283.551
246600,283.46,285.471,283.525
246900,283.433,285.437,283.499
247200,283.407,285.403,283.473
247500,283.381,285.369,283.447
247800,283.355,285.335,283.42
248100,283.328,285.302,283.394
248400,283.301,285.269,283.367
248700,283.275,285.236,283.34
249000,283.247,285.203,283.313
249300,283.219,285.17,283.285
249600,283.191,285.138,283.257
249900,283.164,285.105,283.229
250200,283.136,285.073,283.201
250500,283.108,285.041,283.173
250800,283.08,285.009,283.145
251100,283.052,284.977,283.117
251400,283.024,284.946,283.089
251700,282.998,284.915,283.062
252000,282.971,284.884,283.035
252300,282.944,284.853,283.008
252600,282.917,284.822,282.981
252900,282.891,284.791,282.954
253200,282.864,284.76,282.927
253500,282.837,284.729,282.9
253800,282.811,284.698,282.874
254100,282.785,284.668,282.848
254400,282.76,284.638,282.823
254700,282.734,284.608,282.797
255000,282.709,284.578,282.772
255300,282.684,284.548,282.746
255600,282.658,284.518,282.721
255900,282.633,284.488,282.695
256200,282.609,284.459,282.671
256500,282.585,284.43,282.647
256800,282.562,284.4,282.623
257100,282.538,284.371,282.599
257400,282.514,284.342,282.575
257700,282.49,284.313,282.552
258000,282.467,284.284,282.528
258300,282.443,284.255,282.504
258600,282.42,284.227,282.481
258900,282.397,284.198,282.457
259200,282.373,284.169,282.434
