Time,halTdb,wesTdb,easTdb
77700.0,289.237640882,286.175544603,288.25631637
78000.0,289.201520431,286.142468444,288.214213317
78300.0,289.165454327,286.110292677,288.173149909
78600.0,289.129437806,286.07898804,288.133093399
78900.0,289.093472072,286.048502184,288.093983059
79200.0,289.05756249,286.018776579,288.055750844
79500.0,289.021717186,285.989754193,288.018330596
79800.0,288.985929027,285.958090561,287.978881146
80100.0,288.950182217,285.924908971,287.938291142
80400.0,288.914460092,285.89083121,287.897039518
80700.0,288.87874705,285.856194348,287.85537943
81000.0,288.843029341,285.821182724,287.81344668
81300.0,288.807295217,285.785899338,287.771316196
81600.0,288.771534819,285.750401081,287.729028437
81900.0,288.735739949,285.714722055,287.686607716
82200.0,288.699903826,285.678884001,287.644069704
82500.0,288.664020855,285.642902083,287.601425588
82800.0,288.628086438,285.606787163,287.558683431
83100.0,288.592096813,285.570547466,287.515849356
83400.0,288.556061958,285.537172773,287.475944988
83700.0,288.520005883,285.505379068,287.437644699
84000.0,288.483951818,285.474486176,287.400257611
84300.0,288.447920162,285.444132837,287.363422329
84600.0,288.411928059,285.414125197,287.32694757
84900.0,288.375989081,285.384356233,287.290728884
85200.0,288.340114004,285.354765676,287.254707927
85500.0,288.304311328,285.325318142,287.218850598
85800.0,288.268587708,285.295991732,287.183135781
86100.0,288.232947704,285.266768706,287.147546022
86400.0,288.197393762,285.237632484,287.112064633
86700.0,288.161929011,285.208581066,287.07668985
87000.0,288.126520188,285.172960683,287.034799901
87300.0,288.091119706,285.133582199,286.989250562
87600.0,288.055675142,285.091999383,286.941594805
87900.0,288.020138967,285.049043901,286.892649752
88200.0,287.984470378,285.005165618,286.842850202
88500.0,287.948635365,284.960612747,286.792432522
88800.0,287.912606117,284.915526514,286.74152959
89100.0,287.876360223,284.869991018,286.690219921
89400.0,287.839879865,284.824059532,286.638553145
89700.0,287.803151083,284.777768425,286.586563256
90000.0,287.766163141,284.731144345,286.534275336
90300.0,287.728907994,284.684207947,286.481708977
90600.0,287.6914159,284.64702616,286.438641247
90900.0,287.653768416,284.615132602,286.400680078
91200.0,287.61606809,284.586323015,286.365666791
91500.0,287.578370134,284.559483182,286.332545048
91800.0,287.540734137,284.53396696,286.300704239
92100.0,287.503211411,284.509422519,286.269815448
92400.0,287.465844546,284.48565307,286.239696454
92700.0,287.428668843,284.462538657,286.210236852
93000.0,287.391711802,284.440015957,286.181378587
93300.0,287.354996242,284.418033303,286.15307391
93600.0,287.318540036,284.396558014,286.125292381
93900.0,287.28235756,284.375563005,286.098008411
94200.0,287.246453831,284.349931867,286.06630128
94500.0,287.210805557,284.321938556,286.032392952
94800.0,287.175317064,284.292550781,285.99719673
95100.0,287.139987014,284.262356317,285.961280249
95400.0,287.104792243,284.23169256,285.924960672
95700.0,287.069710403,284.200733753,285.88839838
96000.0,287.03472296,284.16958105,285.851685485
96300.0,286.99981557,284.138312386,285.814893637
96600.0,286.96497489,284.106945686,285.778037591
96900.0,286.930190222,284.07549584,285.741130377
97200.0,286.895452964,284.043977176,285.704185185
97500.0,286.860756077,284.012400203,285.667211908
97800.0,286.826124386,283.984888369,285.634361547
98100.0,286.791569896,283.959774399,285.603949692
98400.0,286.757129145,283.936118014,285.575005618
98700.0,286.722831525,283.913382488,285.546991048
99000.0,286.688700644,283.891297356,285.519640704
99300.0,286.654756449,283.869709621,285.492806189
99600.0,286.621015359,283.848532197,285.466404061
