Time,weaPAtm,weaTDewPoi,weaTDryBul,weaRelHum,weaNOpa,weaCelHei,weaNTot,weaWinSpe,weaWinDir,weaHHorIR,weaHDirNor,weaHGloHor,weaHDifHor,weaSolZen,weaTBlaSky,weaTWetBul,weaSolTim,weaCloTim,lat,lon
68400,101325,267.05,270.95,0.75,1,2440,1,2.1,2.79253,273.275,0.0001,0.0001,0.0001,2.03892,263.043,269.608,68661.5,68400,0.732689,-1.53449
72000,101325,267.55,272.05,0.72,1,3050,1,2.6,2.79253,275.652,0.0001,0.0001,0.0001,2.23295,264.234,270.459,72260.4,72000,0.732689,-1.53449
75600,101325,268.15,271.45,0.78,1,3050,1,0.000001,0.001,276.191,0.0001,0.0001,0.0001,2.42549,263.797,270.242,75859.3,75600,0.732689,-1.53449
79200,101325,268.15,272.05,0.75,1,3050,1,2.6,2.79253,266.346,0.0001,0.0001,0.0001,2.60678,264.38,270.633,79458.2,79200,0.732689,-1.53449
82800,101325,268.15,271.45,0.78,0.6,3050,0.6,2.6,3.14159,250.473,0.0001,0.0001,0.0001,2.75334,258.792,270.242,83057.1,82800,0.732689,-1.53449
86400,101325,267.05,271.45,0.72,0.3,2000,0.3,2.6,3.31613,241.726,0.0001,0.0001,0.0001,2.81009,256.965,269.905,86656,86400,0.732689,-1.53449
90000,101325,267.05,269.25,0.85,0.2,2000,0.2,2.1,2.96706,239.128,0.0001,0.0001,0.0001,2.73619,254.256,268.516,90254.9,90000,0.732689,-1.53449
93600,101325,267.05,270.35,0.78,0.3,2000,0.4,3.1,3.49066,240.333,0.0001,0.0001,0.0001,2.58214,255.924,269.206,93853.8,93600,0.732689,-1.53449
97200,101325,266.45,269.85,0.78,0.2,2000,0.2,2.6,3.14159,243.25,0.0001,0.0001,0.0001,2.39826,254.681,268.735,97452.6,97200,0.732689,-1.53449
100800,101325,267.05,270.35,0.78,0.6,3050,0.8,2.1,2.0944,256.118,0.0001,0.0001,0.0001,2.20501,257.481,269.206,101052,100800,0.732689,-1.53449
104400,101325,267.55,272.05,0.72,0.8,3050,1,3.6,3.31613,263.476,0.0001,0.0001,0.0001,2.01119,261.001,270.459,104650,104400,0.732689,-1.53449
108000,101325,267.55,272.05,0.72,0.8,7620,1,3.1,3.66519,271.01,0.0001,0.0001,0.0001,1.82224,261.001,270.459,108249,108000,0.732689,-1.53449
111600,101325,267.55,272.55,0.69,1,7620,1,2.6,3.49066,277.954,0.0001,2.3617,2.39583,1.643,264.719,270.742,111848,111600,0.732689,-1.53449
115200,101325,267.55,272.55,0.69,1,2440,1,2.6,3.31613,280.084,2.5,22.3806,21.9529,1.47901,264.719,270.742,115447,115200,0.732689,-1.53449
118800,101325,268.15,273.15,0.69,1,2440,1,3.6,3.14159,283,3.05,85.6692,84.6096,1.33725,265.449,271.289,119046,118800,0.732689,-1.53449
122400,101325,268.15,273.75,0.67,1,2440,1,3.6,2.79253,286.701,0.825,129.075,128.527,1.22636,266.032,271.709,122645,122400,0.732689,-1.53449
126000,101325,268.15,274.85,0.62,1,2440,1,3.6,3.14159,289.094,1.5,155.299,155.407,1.15586,267.101,272.366,126244,126000,0.732689,-1.53449
129600,101325,268.75,274.85,0.64,1,1830,1,2.1,2.79253,289.75,2.5,185.135,184.5,1.13364,267.249,272.501,129843,129600,0.732689,-1.53449
133200,101325,269.25,274.85,0.67,1,1830,1,0.000001,0.001,288.264,1.625,179.246,178.666,1.16256,267.371,272.703,133442,133200,0.732689,-1.53449
136800,101325,272.05,273.15,0.92,1,240,1,2.6,2.79253,284.223,0.0001,146.833,146.973,1.23894,266.391,272.678,137040,136800,0.732689,-1.53449
140400,101325,272.05,272.55,0.96,1,910,1,2.1,2.0944,284.986,0.0001,88.2586,88.228,1.35446,265.806,272.321,140639,140400,0.732689,-1.53449
144000,101325,272.05,273.75,0.89,1,1830,1,3.6,1.5708,288.929,0.0001,27.2414,27.2414,1.49963,266.977,273.082,144238,144000,0.732689,-1.53449
147600,101325,272.55,273.75,0.92,1,180,1,7.7,2.96706,286.202,0.0001,2.5,2.5,1.66599,267.096,273.265,147837,147600,0.732689,-1.53449
151200,101325,272.55,272.55,0.989,1,150,1,3.1,2.0944,286.424,0.0001,0.0001,0.0001,1.8468,265.925,272.487,151436,151200,0.732689,-1.53449
154800,101325,272.55,273.75,0.92,1,270,1,3.6,2.26893,289.909,0.0001,0.0001,0.0001,2.03664,267.096,273.265,155035,154800,0.732689,-1.53449
158400,101325,272.55,274.25,0.89,1,270,1,3.6,2.44346,292.5,0.0001,0.0001,0.0001,2.23066,267.584,273.567,158634,158400,0.732689,-1.53449
162000,101325,273.15,274.85,0.89,1,1010,1,4.1,2.0944,295.5,0.0001,0.0001,0.0001,2.4232,268.312,274.148,162233,162000,0.732689,-1.53449
165600,101325,273.75,275.35,0.89,1,1160,1,3.1,1.5708,291.875,0.0001,0.0001,0.0001,2.60449,268.944,274.633,165832,165600,0.732689,-1.53449
169200,101325,272.55,273.15,0.96,1,1160,1,0.000001,0.001,286,0.0001,0.0001,0.0001,2.75122,266.51,272.915,169431,169200,0.732689,-1.53449
172800,101325,272.55,273.15,0.96,1,180,1,2.6,5.58505,286,0.0001,0.0001,0.0001,2.8087,266.51,272.915,173029,172800,0.732689,-1.53449
176400,101325,272.55,273.15,0.96,1,180,1,2.6,5.23599,286,0.0001,0.0001,0.0001,2.73585,266.51,272.915,176628,176400,0.732689,-1.53449
180000,101325,272.55,273.15,0.96,1,180,1,4.6,5.58505,287.65,0.0001,0.0001,0.0001,2.5824,266.51,272.915,180227,180000,0.732689,-1.53449
183600,101325,272.55,273.75,0.92,1,210,1,7.2,5.93412,287.6,0.0001,0.0001,0.0001,2.39876,267.096,273.265,183826,183600,0.732689,-1.53449
187200,101325,271.45,273.15,0.89,1,310,1,6.2,5.93412,282,0.0001,0.0001,0.0001,2.20556,266.248,272.5,187425,187200,0.732689,-1.53449
190800,101325,269.85,272.05,0.85,1,400,1,5.7,5.58505,276,0.0001,0.0001,0.0001,2.01171,264.792,271.206,191024,190800,0.732689,-1.53449
194400,101325,268.75,270.95,0.85,1,580,1,6.2,5.23599,270.271,0.0001,0.0001,0.0001,1.82264,263.457,270.15,194623,194400,0.732689,-1.53449
198000,101325,267.55,269.85,0.85,1,580,1,5.2,5.41052,267.792,0.0001,5,5.17045,1.64322,262.097,269.093,198222,198000,0.732689,-1.53449
201600,101325,267.55,269.85,0.85,1,580,1,4.6,5.23599,265.366,0.5,46.7303,46.1071,1.47899,262.097,269.093,201821,201600,0.732689,-1.53449
205200,101325,267.05,268.75,0.88,1,580,1,5.2,5.58505,262.613,0.541667,124.105,123.64,1.33691,260.908,268.179,205420,205200,0.732689,-1.53449
208800,101325,267.05,268.75,0.88,1,580,1,5.2,5.23599,263.875,0.0001,199.283,198.386,1.22564,260.908,268.179,209018,208800,0.732689,-1.53449
212400,101325,267.05,269.25,0.85,1,580,1,4.6,5.23599,266.5,0.5625,218.076,217.998,1.15472,261.393,268.516,212617,212400,0.732689,-1.53449
216000,101325,267.55,269.85,0.85,1,640,1,4.1,5.23599,269.333,1,217.109,216.639,1.13209,262.097,269.093,216216,216000,0.732689,-1.53449
219600,101325,267.55,270.35,0.81,1,700,1,3.6,5.23599,270,1,214.991,213.434,1.16068,262.583,269.364,219815,219600,0.732689,-1.53449
223200,101325,267.55,270.35,0.81,1,700,1,4.6,5.06145,270,1,183.398,183.297,1.23682,262.583,269.364,223414,223200,0.732689,-1.53449
226800,101325,267.55,270.35,0.81,1,640,1,2.1,5.06145,270,1,112.5,112.507,1.35221,262.583,269.364,227013,226800,0.732689,-1.53449
230400,101325,267.55,270.35,0.81,1,640,1,1.5,4.88692,270,0.5,42.4561,42.4694,1.49731,262.583,269.364,230612,230400,0.732689,-1.53449
234000,101325,268.15,270.35,0.85,1,580,1,2.6,4.53786,270,0.0001,1.35227,1.35227,1.66365,262.728,269.574,234211,234000,0.732689,-1.53449
237600,101325,267.55,270.35,0.81,1,580,1,2.1,4.36332,270,0.0001,0.0001,0.0001,1.84445,262.583,269.364,237810,237600,0.732689,-1.53449
241200,101325,267.55,270.35,0.81,1,580,1,2.6,4.18879,270,0.0001,0.0001,0.0001,2.03429,262.583,269.364,241409,241200,0.732689,-1.53449
244800,101325,268.15,270.35,0.85,1,460,1,2.1,3.66519,270.5,0.0001,0.0001,0.0001,2.22832,262.728,269.574,245008,244800,0.732689,-1.53449
248400,101325,268.75,270.35,0.89,1,430,1,2.1,2.96706,271,0.0001,0.0001,0.0001,2.42084,262.873,269.782,248607,248400,0.732689,-1.53449
252000,101325,268.75,270.35,0.89,1,370,1,3.6,2.96706,271,0.0001,0.0001,0.0001,2.60214,262.873,269.782,252205,252000,0.732689,-1.53449
255600,101325,268.75,270.35,0.89,1,370,1,4.6,3.14159,270.5,0.0001,0.0001,0.0001,2.74899,262.873,269.782,255804,255600,0.732689,-1.53449
259200,101325,268.15,270.35,0.85,1,340,1,4.1,2.79253,270,0.0001,0.0001,0.0001,2.80718,262.728,269.574,259403,259200,0.732689,-1.53449
262800,101325,268.15,270.35,0.85,1,340,1,4.1,2.96706,270,0.0001,0.0001,0.0001,2.7354,262.728,269.574,263002,262800,0.732689,-1.53449
266400,101325,268.15,270.35,0.85,1,340,1,5.2,2.79253,270,0.0001,0.0001,0.0001,2.58255,262.728,269.574,266601,266400,0.732689,-1.53449
270000,101325,268.15,270.35,0.85,1,340,1,5.7,2.96706,269,0.0001,0.0001,0.0001,2.39916,262.728,269.574,270200,270000,0.732689,-1.53449
273600,101325,268.15,269.85,0.88,1,270,1,5.2,3.31613,268,0.0001,0.0001,0.0001,2.20603,262.242,269.245,273799,273600,0.732689,-1.53449
277200,101325,268.15,269.85,0.88,1,240,1,4.6,2.96706,268,0.0001,0.0001,0.0001,2.01213,262.242,269.245,277398,277200,0.732689,-1.53449
280800,101325,268.15,269.85,0.88,1,180,1,4.1,2.61799,269.312,0.0001,0.0001,0.0001,1.82295,262.242,269.245,280997,280800,0.732689,-1.53449
284400,101325,269.25,270.35,0.92,1,120,1,4.1,2.79253,270.906,0.0001,3.42,3.5625,1.64335,262.994,269.938,284596,284400,0.732689,-1.53449
288000,101325,269.25,270.35,0.92,1,120,1,4.6,2.44346,272.481,0.0001,47.5434,47.4811,1.47886,262.994,269.938,288195,288000,0.732689,-1.53449
291600,101325,269.25,270.95,0.89,1,210,1,4.6,2.61799,275.112,0.5,103.007,102.515,1.33646,263.577,270.365,291794,291600,0.732689,-1.53449
295200,101325,269.25,271.45,0.85,1,310,1,5.2,2.61799,275.938,1,157.029,157.157,1.2248,264.064,270.63,295392,295200,0.732689,-1.53449
298800,101325,269.85,271.45,0.89,1,400,1,3.6,2.44346,277.45,1,192.338,191.627,1.15346,264.208,270.85,298991,298800,0.732689,-1.53449
302400,101325,270.35,272.05,0.89,1,340,1,3.6,2.26893,280.175,0.541667,195.254,195.249,1.13043,264.912,271.433,302590,302400,0.732689,-1.53449
306000,101325,270.35,272.55,0.85,1,340,1,2.1,3.66519,281.25,0.5,177.435,177.435,1.15868,265.399,271.686,306189,306000,0.732689,-1.53449
309600,101325,270.35,272.55,0.85,1,310,1,2.1,5.58505,280.5,0.458333,144.12,144.12,1.2346,265.399,271.686,309788,309600,0.732689,-1.53449
313200,101325,270.95,272.05,0.92,1,120,1,3.1,5.75959,279.5,0.0001,97.422,97.422,1.34986,265.056,271.602,313387,313200,0.732689,-1.53449
316800,101325,270.35,272.05,0.89,1,210,1,4.1,5.75959,275.056,0.0001,33.7851,33.7851,1.49491,264.912,271.433,316986,316800,0.732689,-1.53449
320400,101325,268.15,270.35,0.85,1,430,1,7.7,5.75959,267.494,0.0001,3.64583,3.64583,1.66123,262.728,269.574,320585,320400,0.732689,-1.53449
324000,101325,267.05,269.25,0.85,1,240,1,7.2,5.75959,261.888,0.0001,0.0001,0.0001,1.84204,261.393,268.516,324184,324000,0.732689,-1.53449
327600,101325,265.95,268.15,0.85,1,430,1,7.7,5.58505,258.233,0.0001,0.0001,0.0001,2.03189,260.058,267.457,327783,327600,0.732689,-1.53449
331200,101325,265.95,268.15,0.85,1,460,1,6.7,5.41052,260.394,0.0001,0.0001,0.0001,2.22592,260.058,267.457,331382,331200,0.732689,-1.53449
334800,101325,266.45,268.75,0.85,1,460,1,8.2,5.41052,262.576,0.0001,0.0001,0.0001,2.41843,260.762,268.035,334981,334800,0.732689,-1.53449
338400,101325,266.45,268.15,0.88,1,460,1,8.8,5.75959,247.667,0.0001,0.0001,0.0001,2.59971,260.18,267.597,338580,338400,0.732689,-1.53449
342000,101325,263.75,267.05,0.78,0.5,2000,0.5,6.7,5.75959,220.876,0.0001,0.0001,0.0001,2.74667,252.992,266.09,342178,342000,0.732689,-1.53449
345600,101325,262.55,265.95,0.77,0.011,2000,0.011,5.2,5.06145,223.901,0.0001,0.0001,0.0001,2.80552,248.2,265.006,345777,345600,0.732689,-1.53449
349200,101325,262.05,265.95,0.74,0.8,760,0.8,6.2,5.41052,237.713,0.0001,0.0001,0.0001,2.73481,253.826,264.881,349376,349200,0.732689,-1.53449
352800,101325,263.15,266.45,0.78,0.8,1010,0.8,5.2,5.41052,235.743,0.0001,0.0001,0.0001,2.5826,254.572,265.521,352975,352800,0.732689,-1.53449
356400,101325,262.55,265.95,0.77,0.7,880,0.7,3.6,5.06145,226.377,0.0001,0.0001,0.0001,2.39946,252.947,265.006,356574,356400,0.732689,-1.53449
360000,101325,261.45,264.25,0.81,0.4,2000,0.4,4.1,5.06145,207.24,0.0001,0.0001,0.0001,2.2064,249.315,263.545,360173,360000,0.732689,-1.53449
363600,101325,258.15,260.95,0.8,0.011,2000,0.011,5.7,4.71239,190.505,0.0001,0.0001,0.0001,2.01246,242.489,260.344,363772,363600,0.732689,-1.53449
367200,101325,255.95,258.75,0.8,0.011,2000,0.011,5.2,4.71239,184.509,0.0001,0.0001,0.0001,1.82316,239.914,258.226,367371,367200,0.732689,-1.53449
370800,101325,254.25,258.15,0.73,0.011,2000,0.1,5.2,4.71239,191.155,3.18293,6.79545,7.4375,1.64337,238.943,257.47,370970,370800,0.732689,-1.53449
374400,101325,257.55,259.25,0.87,0.3,2000,0.7,6.2,4.36332,197.039,220.155,63.872,36.8594,1.47863,243.18,258.898,374569,374400,0.732689,-1.53449
378000,101325,257.55,259.25,0.87,0.2,2000,0.3,6.2,4.36332,195.948,580.05,195.336,52.7188,1.3359,242.582,258.898,378168,378000,0.732689,-1.53449
381600,101325,257.55,261.45,0.73,0.011,2000,0.1,5.7,4.18879,200.938,795.085,331.074,60.0469,1.22385,242.808,260.604,381767,381600,0.732689,-1.53449
385200,101325,258.75,263.75,0.67,0.011,2000,0.011,6.2,4.01426,207.5,848.003,417.263,67.0469,1.15208,245.236,262.555,385366,385200,0.732689,-1.53449
388800,101325,259.85,265.35,0.65,0.011,2000,0.011,7.7,4.18879,212.5,867.183,446.604,69.1674,1.12864,246.992,263.955,388965,388800,0.732689,-1.53449
392400,101325,260.95,266.45,0.65,0.011,2000,0.011,7.7,3.83972,218.518,805.014,393.466,70.9921,1.15657,248.282,264.964,392564,392400,0.732689,-1.53449
396000,101325,261.45,267.55,0.63,0.1,2000,0.3,6.2,4.01426,227.924,650.347,297.911,83.1576,1.23228,250.465,265.878,396162,396000,0.732689,-1.53449
399600,101325,262.55,269.25,0.6,0.2,2000,0.2,8.2,3.83972,237.517,370.47,163.823,74.4389,1.34743,253.177,267.264,399761,399600,0.732689,-1.53449
403200,101325,262.55,269.85,0.58,0.4,2000,0.5,9.3,4.18879,235.825,110.844,39.402,31.8846,1.49243,254.869,267.695,403360,403200,0.732689,-1.53449
406800,101325,263.15,268.75,0.66,0.2,2000,0.2,7.7,4.18879,229.3,21.6648,5.45354,2.25,1.65875,252.853,267.112,406959,406800,0.732689,-1.53449
410400,101325,263.15,268.15,0.68,0.1,2000,0.1,7.2,4.53786,225.458,0.0001,0.0001,0.0001,1.83957,251.438,266.659,410558,410400,0.732689,-1.53449
414000,101325,262.55,267.55,0.68,0.1,2000,0.1,7.2,4.53786,222.208,0.0001,0.0001,0.0001,2.02943,250.731,266.107,414157,414000,0.732689,-1.53449
417600,101325,262.05,266.45,0.71,0.1,2000,0.1,6.7,4.71239,216.208,0.0001,0.0001,0.0001,2.22346,249.58,265.222,417756,417600,0.732689,-1.53449
421200,101325,262.05,265.35,0.77,0.011,2000,0.011,6.7,4.71239,208.979,0.0001,0.0001,0.0001,2.41596,247.521,264.438,421355,421200,0.732689,-1.53449
424800,101325,260.35,264.25,0.74,0.011,2000,0.011,5.2,4.88692,206.589,0.0001,0.0001,0.0001,2.59721,246.088,263.282,424954,424800,0.732689,-1.53449
428400,101325,259.85,264.25,0.71,0.011,2000,0.011,5.2,4.71239,208.486,0.0001,0.0001,0.0001,2.74425,245.968,263.169,428553,428400,0.732689,-1.53449
432000,101325,259.25,263.15,0.74,0.2,2000,0.2,5.2,4.88692,204.996,0.0001,0.0001,0.0001,2.80374,246.648,262.244,432152,432000,0.732689,-1.53449
435600,101325,258.75,262.05,0.77,0.011,2000,0.011,5.7,4.88692,202.486,0.0001,0.0001,0.0001,2.7341,243.656,261.302,435751,435600,0.732689,-1.53449
439200,101325,258.15,262.05,0.73,0.2,2000,0.2,4.6,4.71239,200.017,0.0001,0.0001,0.0001,2.58253,245.349,261.171,439350,439200,0.732689,-1.53449
442800,101325,257.55,260.95,0.77,0.011,2000,0.011,4.1,4.88692,191.364,0.0001,0.0001,0.0001,2.39967,242.343,260.253,442949,442800,0.732689,-1.53449
446400,101325,255.95,259.25,0.76,0.011,2000,0.011,3.6,5.06145,188.964,0.0001,0.0001,0.0001,2.20668,240.378,258.599,446548,446400,0.732689,-1.53449
450000,101325,256.45,259.25,0.8,0.011,2000,0.011,3.6,5.41052,187.973,0.0001,0.0001,0.0001,2.0127,240.499,258.708,450147,450000,0.732689,-1.53449
453600,101325,255.35,258.75,0.76,0.011,2000,0.011,3.6,5.41052,186.188,0.0001,0.0001,0.0001,1.82328,239.768,258.12,453746,453600,0.732689,-1.53449
457200,101325,254.25,258.75,0.69,0.011,2000,0.1,4.6,5.75959,186.5,8.67585,3.45213,5.82353,1.6433,239.499,257.936,457344,457200,0.732689,-1.53449
460800,101325,249.25,258.15,0.47,0.2,2000,0.7,3.1,5.58505,187.5,217.492,66.6497,33.6592,1.47829,239.49,256.808,460943,460800,0.732689,-1.53449
464400,101325,249.85,259.25,0.45,0.1,2000,0.4,5.2,5.93412,188.583,557.431,190,57.0728,1.33522,239.853,257.748,464542,464400,0.732689,-1.53449
468000,101325,250.95,259.85,0.48,0.1,2000,0.4,4.1,6.10865,193.807,622.956,305.272,94.8743,1.22277,240.689,258.373,468141,468000,0.732689,-1.53449
471600,101325,251.45,260.95,0.46,0.3,2000,1,4.1,5.75959,204.547,292.772,274.604,146.86,1.15057,243.251,259.3,471740,471600,0.732689,-1.53449
475200,101325,252.55,262.05,0.46,0.7,7620,1,4.1,5.23599,211.607,89.8027,221.099,182.883,1.12673,246.759,260.279,475339,475200,0.732689,-1.53449
478800,101325,252.55,261.45,0.48,0.8,7620,1,2.6,5.41052,219.034,45.6415,181.159,164.725,1.15435,247.168,259.81,478938,478800,0.732689,-1.53449
482400,101325,252.55,262.05,0.46,1,7620,1,3.6,5.75959,218.086,53.6595,144.635,127.025,1.22985,250.803,260.279,482537,482400,0.732689,-1.53449
486000,101325,252.05,261.45,0.46,0.8,7620,1,2.6,4.88692,207.664,97.3419,123.538,102.758,1.3449,247.039,259.746,486136,486000,0.732689,-1.53449
489600,101325,252.55,260.95,0.5,0.6,7620,1,2.6,5.41052,196.922,69.3949,53.3523,43.721,1.48987,245.012,259.424,489735,489600,0.732689,-1.53449
493200,101325,252.05,258.75,0.57,0.2,2000,0.6,3.6,5.58505,187.812,19.8333,3.23864,2.59848,1.6562,240.758,257.618,493334,493200,0.732689,-1.53449
496800,101325,250.95,257.55,0.57,0.2,2000,0.4,3.1,5.58505,180.142,0.0001,0.0001,0.0001,1.83704,239.365,256.507,496933,496800,0.732689,-1.53449
500400,101325,249.85,255.95,0.59,0.011,2000,0.011,4.6,6.10865,174.34,0.0001,0.0001,0.0001,2.02692,235.821,255.063,500532,500400,0.732689,-1.53449
504000,101325,249.25,255.95,0.56,0.011,2000,0.011,4.1,5.75959,171.006,0.0001,0.0001,0.0001,2.22095,235.67,254.997,504131,504000,0.732689,-1.53449
507600,101325,248.15,254.25,0.59,0.011,2000,0.011,2.1,4.88692,169.898,0.0001,0.0001,0.0001,2.41343,233.828,253.466,507730,507600,0.732689,-1.53449
511200,101325,248.15,254.85,0.56,0.011,2000,0.011,4.1,5.58505,171.677,0.0001,0.0001,0.0001,2.59464,234.38,253.97,511329,511200,0.732689,-1.53449
514800,101325,247.55,255.35,0.51,0.011,2000,0.011,4.1,6.10865,170.083,0.0001,0.0001,0.0001,2.74173,234.688,254.333,514928,514800,0.732689,-1.53449
518400,101325,247.05,254.25,0.53,0.011,2000,0.011,4.6,6.10865,168.017,0.0001,0.0001,0.0001,2.80183,233.55,253.351,518527,518400,0.732689,-1.53449
522000,101325,246.45,254.25,0.51,0.011,2000,0.011,4.1,5.75959,167.65,0.0001,0.0001,0.0001,2.73325,233.397,253.312,522126,522000,0.732689,-1.53449
525600,101325,246.45,253.75,0.53,0.011,2000,0.011,3.6,5.75959,166,0.0001,0.0001,0.0001,2.58236,232.938,252.884,525725,525600,0.732689,-1.53449
529200,101325,246.45,253.15,0.56,0.011,2000,0.011,3.1,5.41052,164,0.0001,0.0001,0.0001,2.39977,232.387,252.375,529324,529200,0.732689,-1.53449
532800,101325,246.45,252.55,0.58,0.011,2000,0.011,4.1,5.41052,165.375,0.0001,0.0001,0.0001,2.20686,231.836,251.844,532923,532800,0.732689,-1.53449
536400,101325,246.45,252.05,0.61,0.2,2000,0.2,3.1,5.23599,164.5,0.0001,0.0001,0.0001,2.01284,233.124,251.419,536522,536400,0.732689,-1.53449
540000,101325,245.35,250.95,0.61,0.1,2000,0.1,3.1,5.41052,159.5,0.0001,0.0001,0.0001,1.8233,231.045,250.371,540120,540000,0.732689,-1.53449
543600,101325,245.35,250.35,0.64,0.011,2000,0.011,2.1,5.23599,156.864,57.0687,6.00205,4.42361,1.64312,229.539,249.84,543719,543600,0.732689,-1.53449
547200,101325,245.95,251.45,0.61,0.011,2000,0.011,3.1,5.58505,165.053,409.516,76.2954,22.1736,1.47784,230.7,250.848,547318,547200,0.732689,-1.53449
550800,101325,247.55,254.85,0.53,0.011,2000,0.011,5.2,6.10865,173.677,730.294,211.873,38.0278,1.33443,234.228,253.91,550917,550800,0.732689,-1.53449
554400,101325,248.75,257.05,0.49,0.011,2000,0.011,6.2,6.10865,179.906,847.528,342.849,49.0625,1.22158,236.556,255.854,554516,554400,0.732689,-1.53449
558000,101325,248.75,258.75,0.43,0.011,2000,0.011,6.7,6.10865,182.062,893.227,426.294,55.5625,1.14894,238.121,257.245,558115,558000,0.732689,-1.53449
561600,101325,248.75,258.75,0.43,0.011,2000,0.011,5.2,5.41052,183.491,902.673,450.821,57.5278,1.1247,238.121,257.245,561714,561600,0.732689,-1.53449
565200,101325,249.25,259.85,0.41,0.011,2000,0.011,5.2,5.41052,186.321,888.408,419.227,55.2937,1.15201,239.261,258.171,565313,565200,0.732689,-1.53449
568800,101325,249.85,260.35,0.41,0.011,2000,0.011,5.7,5.58505,186.2,835.621,328.863,47.2827,1.22733,239.875,258.615,568912,568800,0.732689,-1.53449
572400,101325,249.25,259.85,0.41,0.011,2000,0.011,4.6,5.58505,184.55,712.646,196.183,36.3208,1.34229,239.261,258.171,572511,572400,0.732689,-1.53449
576000,101325,249.85,259.25,0.45,0.011,2000,0.011,5.2,5.58505,180.656,370.349,63.9464,20.8111,1.48724,238.861,257.748,576110,576000,0.732689,-1.53449
579600,101325,248.75,257.05,0.49,0.011,2000,0.011,5.7,5.75959,175.983,40.6696,5.64706,3.51389,1.65358,236.556,255.854,579709,579600,0.732689,-1.53449
583200,101325,248.75,256.45,0.51,0.011,2000,0.011,3.6,5.58505,172.944,0.0001,0.0001,0.0001,1.83445,236.004,255.349,583308,583200,0.732689,-1.53449
