Time,weaPAtm,weaTDewPoi,weaTDryBul,weaRelHum,weaNOpa,weaCelHei,weaNTot,weaWinSpe,weaWinDir,weaHHorIR,weaHDirNor,weaHGloHor,weaHDifHor,weaSolZen,weaTBlaSky,weaTWetBul,weaSolTim,weaCloTim,lat,lon
0,101325,257.05,260.95,0.73,0.9,2740,0.9,2.6,4.71239,216.762,0.0001,0.0001,0.0001,2.81134,249.156,260.131,282.788,0,0.732689,-1.53449
3600,101325,257.05,260.95,0.73,0.9,2740,0.9,2.6,4.71239,222.613,0.0001,0.0001,0.0001,2.73639,249.156,260.131,3881.67,3600,0.732689,-1.53449
7200,101325,257.55,261.45,0.73,1,1680,1,2.6,4.36332,228.969,0.0001,0.0001,0.0001,2.58177,251.508,260.604,7480.54,7200,0.732689,-1.53449
10800,101325,258.15,262.05,0.73,1,1400,1,2.1,4.18879,229.944,0.0001,0.0001,0.0001,2.39767,252.236,261.171,11079.4,10800,0.732689,-1.53449
14400,101325,258.15,262.05,0.73,1,1400,1,2.6,4.01426,231.15,0.0001,0.0001,0.0001,2.20436,252.236,261.171,14678.3,14400,0.732689,-1.53449
18000,101325,258.75,262.55,0.73,1,1400,1,2.6,4.18879,232,0.0001,0.0001,0.0001,2.01058,252.868,261.643,18277.2,18000,0.732689,-1.53449
21600,101325,258.75,262.55,0.73,1,1830,1,2.6,3.66519,232,0.0001,0.0001,0.0001,1.82174,252.868,261.643,21876.1,21600,0.732689,-1.53449
25200,101325,259.25,262.55,0.77,1,1680,1,3.1,3.14159,229.281,3.56039,0.907895,2.28261,1.64268,252.993,261.779,25474.9,25200,0.732689,-1.53449
28800,101325,259.85,263.15,0.77,0.8,2130,0.8,2.6,3.14159,213.344,188.533,53.3126,27.637,1.47893,250.617,262.35,29073.8,28800,0.732689,-1.53449
32400,101325,259.85,264.25,0.71,0.011,2000,0.011,3.1,3.31613,210.5,501.2,179.694,59.9388,1.33748,245.968,263.169,32672.7,32400,0.732689,-1.53449
36000,101325,259.85,266.45,0.6,0.011,2000,0.2,5.7,3.83972,217.5,654.292,297.034,75.1415,1.22696,248.016,264.748,36271.6,36000,0.732689,-1.53449
39600,101325,262.05,268.15,0.63,0.011,2000,0.011,5.7,3.66519,227.206,640.36,369.426,110.198,1.15688,250.133,266.422,39870.5,39600,0.732689,-1.53449
43200,101325,263.75,269.85,0.63,0.2,2000,0.6,5.7,3.83972,246.021,328.37,298.175,159.337,1.13507,254.033,267.958,43469.4,43200,0.732689,-1.53449
46800,101325,264.85,270.95,0.63,0.8,6710,1,5.2,4.01426,262.961,76.2325,206.078,171.664,1.16433,259.291,268.947,47068.2,46800,0.732689,-1.53449
50400,101325,265.35,272.05,0.61,0.9,6710,1,4.1,4.53786,267.069,79.4721,149.412,127.921,1.24095,261.857,269.816,50667.1,50400,0.732689,-1.53449
54000,101325,265.95,272.05,0.64,0.9,3660,0.9,3.1,4.53786,271.837,64.196,83.1236,67.1007,1.35662,262.005,269.993,54266,54000,0.732689,-1.53449
57600,101325,267.05,272.05,0.69,1,3660,1,1.5,3.66519,276.619,12.7841,19.7041,20.1176,1.50187,264.111,270.285,57864.9,57600,0.732689,-1.53449
61200,101325,267.05,272.05,0.69,1,3660,1,0.000001,0.001,274.5,0.0001,1.13281,0.661765,1.66827,264.111,270.285,61463.8,61200,0.732689,-1.53449
64800,101325,267.05,271.45,0.72,1,2440,1,0.000001,0.001,271.788,0.0001,0.0001,0.0001,1.84908,263.529,269.905,65062.7,64800,0.732689,-1.53449
