Name,Covariance,Free,Maximum,Minimum,Unit,Value
adjeas.c_bou,0.02,True,25000.0,5000.0,J/(m2.K),24999.9937606118
adjeas.r_adj,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.18094487427480399
adjeas.r_zon,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.050000000000000003
adjwes.c_bou,0.02,True,25000.0,5000.0,J/(m2.K),8707.0543051495006
adjwes.r_adj,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.89999998090465105
adjwes.r_zon,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.89999997536718102
eas.c_int,0.02,True,300000.0,50000.0,J/(m2.K),104280.645348227
eas.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),2999.99933775195
eas.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.104288735057632
exteas.abs,0.02,True,1.0,0.0,1,0.999999921006404
exteas.c_bou,0.02,True,40000.0,5000.0,J/(m2.K),40000.0
exteas.r_out,0.02,True,0.29999999999999999,0.050000000000000003,(m2.K)/W,0.29999999999999999
exteas.r_zon,0.02,True,3.0,1.0,(m2.K)/W,2.9999986300386401
extwes.abs,0.02,True,1.0,0.0,1,0.99999744516260902
extwes.c_bou,0.02,True,40000.0,5000.0,J/(m2.K),40000.0
extwes.r_out,0.02,True,0.29999999999999999,0.050000000000000003,(m2.K)/W,0.299999999912682
extwes.r_zon,0.02,True,3.0,1.0,(m2.K)/W,2.9999997048340501
hal.c_int,0.02,True,150000.0,50000.0,J/(m2.K),50000.0
hal.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),2000.0003966176
hal.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.050000004187158498
lat,,False,,,deg,41.980000000000004
wes.c_int,0.02,True,300000.0,50000.0,J/(m2.K),93704.360675090706
wes.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),2999.9994388709501
wes.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.115356613888801
wineas.g,0.02,True,1.0,0.0,1,0.33361134038846202
wineas.r_win,0.02,True,0.80000000000000004,0.10000000000000001,(m2.K)/W,0.494813454981264
winwes.g,0.02,True,1.0,0.0,1,0.156843799209963
winwes.r_win,0.02,True,0.80000000000000004,0.10000000000000001,(m2.K)/W,0.666672546176025
