Time,air_temp_set_1,air_temp_set_2,altimeter_set_1d,date_time,dew_point_temperature_set_1d,precip_accum_fifteen_minute_set_1,pressure_set_1,relative_humidity_set_1,sea_level_pressure_set_1d,solar_radiation_set_1,volt_set_1,wind_cardinal_direction_set_1d,wind_direction_set_1,wind_gust_set_1,wind_speed_set_1
09/17/17 05:00 PM,17.87,17.44,101388.47,2017-09-18T00:00:00Z,10.83,0,98176,63.62,101335.42,398.5,13.02,W,268.4,4.13,2.3
09/17/17 05:15 PM,17.98,17.61,101374.01,2017-09-18T00:15:00Z,10.73,0,98162,62.78,101319.76,354.5,13.03,WSW,243.3,3.96,1.66
09/17/17 05:30 PM,18.16,17.76,101374.01,2017-09-18T00:30:00Z,10.58,0,98162,61.46,101317.79,308.4,13.03,WSW,237.1,4.23,2.12
09/17/17 05:45 PM,18.17,17.96,101374.01,2017-09-18T00:45:00Z,11.11,0,98162,63.6,101317.67,262.5,13.03,WSW,242.7,3.89,1.53
09/17/17 06:00 PM,17.91,17.74,101374.01,2017-09-18T01:00:00Z,11.3,0,98162,65.47,101320.53,215.6,13.03,WSW,237.4,4.43,2.35
09/17/17 06:15 PM,17.68,17.46,101374.01,2017-09-18T01:15:00Z,11.54,0,98162,67.45,101323.05,169.8,13.04,WSW,238.7,3.38,2.12
09/17/17 06:30 PM,17.55,17.39,101380.2,2017-09-18T01:30:00Z,11.57,0,98168,68.16,101330.68,126,13.06,WSW,239.2,3.31,2.16
09/17/17 06:45 PM,16.99,16.95,101372.97,2017-09-18T01:45:00Z,11.66,0,98161,71.02,101329.63,81.7,13.08,SW,230.1,3.82,1.94
09/17/17 07:00 PM,16.69,16.67,101359.55,2017-09-18T02:00:00Z,11.68,0,98148,72.47,101319.53,36.53,13.09,SW,229.9,3.04,1.1
09/17/17 07:15 PM,16.74,16.77,101359.55,2017-09-18T02:15:00Z,11.82,0,98148,72.93,101318.98,10.6,13.1,S,170.4,1.94,1.09
09/17/17 07:30 PM,16.68,16.57,101346.12,2017-09-18T02:30:00Z,11.81,0,98135,73.16,101306.22,2.19,13.11,SE,136.1,2.87,1.83
09/17/17 07:45 PM,16.56,16.48,101346.12,2017-09-18T02:45:00Z,11.89,0,98135,74.09,101307.55,0.24,13.12,SE,132.5,4.33,2.42
09/17/17 08:00 PM,16.15,16.04,101331.67,2017-09-18T03:00:00Z,12.2,0,98121,77.58,101297.65,0.12,13.13,SE,139.3,4.33,2.85
09/17/17 08:15 PM,15.93,15.81,101331.67,2017-09-18T03:15:00Z,12.39,0,98121,79.68,101300.09,0.16,13.13,ESE,118.6,5.05,3.57
09/17/17 08:30 PM,15.56,15.45,101365.75,2017-09-18T03:30:00Z,12.77,0,98154,83.6,101338.28,0.2,13.14,ESE,121.5,5.46,3.51
09/17/17 08:45 PM,15.41,15.27,101369.88,2017-09-18T03:45:00Z,12.99,0,98158,85.6,101344.09,0.2,13.15,ESE,121.2,5.8,3.86
09/17/17 09:00 PM,15.31,15.2,101382.27,2017-09-18T04:00:00Z,13.05,0,98170,86.5,101357.6,0.2,13.16,SE,124.7,5.32,3.24
09/17/17 09:15 PM,15.46,15.3,101397.76,2017-09-18T04:15:00Z,13.25,0,98185,86.8,101371.4,0.2,13.16,SE,135.2,4.81,3.39
09/17/17 09:30 PM,15.5,15.33,101396.73,2017-09-18T04:30:00Z,13.31,0,98184,86.9,101369.92,0.2,13.16,SE,127.2,5.56,3.24
09/17/17 09:45 PM,15.31,15.17,101383.3,2017-09-18T04:45:00Z,13.17,0,98171,87.2,101358.63,0.2,13.16,ESE,119,5.7,3.66
09/17/17 10:00 PM,15.2,15.04,101384.33,2017-09-18T05:00:00Z,13.15,0,98172,87.7,101360.89,0.2,13.16,ESE,112.1,5.77,3.23
09/17/17 10:15 PM,15.1,14.99,101386.4,2017-09-18T05:15:00Z,13,0,98174,87.4,101364.08,0.2,13.17,ESE,112.1,6.04,3.9
09/17/17 10:30 PM,15.03,14.86,101400.86,2017-09-18T05:30:00Z,12.97,0,98188,87.6,101379.32,0.2,13.17,ESE,105.5,6,4.29
09/17/17 10:45 PM,14.97,14.88,101387.43,2017-09-18T05:45:00Z,12.89,0,98175,87.5,101366.57,0.2,13.18,ESE,108,5.26,3.69
09/17/17 11:00 PM,14.92,14.88,101387.43,2017-09-18T06:00:00Z,12.9,0,98175,87.8,101367.13,0.2,13.18,ESE,107.9,5.97,3.97
09/17/17 11:15 PM,14.98,14.91,101387.43,2017-09-18T06:15:00Z,12.96,0,98175,87.8,101366.46,0.2,13.18,ESE,114.9,5.39,3.31
09/17/17 11:30 PM,14.94,14.84,101400.86,2017-09-18T06:30:00Z,13.14,0,98188,89.1,101380.33,0.2,13.18,ESE,123.5,5.73,3.85
